epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7038.37,1.45065,1.40655,1.43161,0.815,0.56922,0.64672,0.42668,1.48136,1.1949,1.31746,0.00748,0.00748,0.00748
44,7202.81,1.44553,1.39263,1.43177,0.73718,0.63293,0.65718,0.42303,1.50728,1.16538,1.33538,0.00742,0.00742,0.00742
45,7366.24,1.43279,1.37992,1.4288,0.73647,0.63089,0.66409,0.43321,1.4874,1.16481,1.33588,0.00736,0.00736,0.00736
46,7530.52,1.43175,1.36894,1.42924,0.75203,0.59915,0.65553,0.42776,1.51371,1.16318,1.34396,0.0073,0.0073,0.0073
47,7694.77,1.44977,1.3595,1.438,0.7358,0.62686,0.66156,0.42862,1.52656,1.12205,1.35143,0.00724,0.00724,0.00724
48,7857.13,1.44019,1.34821,1.43074,0.76317,0.59465,0.6566,0.43465,1.46566,1.12952,1.30251,0.00718,0.00718,0.00718
49,8017.89,1.42242,1.34807,1.43043,0.72709,0.64762,0.67221,0.43757,1.4984,1.11856,1.33808,0.00712,0.00712,0.00712
50,8184.9,1.44144,1.35288,1.42361,0.71554,0.63563,0.66406,0.43242,1.49577,1.15329,1.32875,0.00706,0.00706,0.00706
51,8349.92,1.4164,1.32664,1.42476,0.73914,0.6234,0.66674,0.42998,1.50956,1.11519,1.33948,0.007,0.007,0.007
52,8512.34,1.42335,1.35088,1.42583,0.74681,0.63499,0.67734,0.44601,1.47945,1.09768,1.32605,0.00694,0.00694,0.00694
53,8674.13,1.40058,1.31625,1.40215,0.75508,0.63456,0.67508,0.44536,1.46418,1.08091,1.30562,0.00688,0.00688,0.00688
54,8835.8,1.41585,1.32539,1.42727,0.69894,0.64336,0.66869,0.44013,1.48152,1.1148,1.32381,0.00682,0.00682,0.00682
55,9000.2,1.4173,1.30591,1.41509,0.7605,0.65422,0.68532,0.44947,1.4728,1.09322,1.31591,0.00676,0.00676,0.00676
56,9162.4,1.41893,1.30972,1.40971,0.74477,0.64153,0.67244,0.43923,1.45736,1.0973,1.30476,0.0067,0.0067,0.0067
57,9324.28,1.41637,1.3432,1.41745,0.76131,0.63376,0.67741,0.44218,1.47806,1.07926,1.30718,0.00664,0.00664,0.00664
58,9487.14,1.41032,1.29469,1.39356,0.76303,0.64445,0.67323,0.43869,1.47118,1.10512,1.31425,0.00658,0.00658,0.00658
59,9647.3,1.41275,1.29522,1.39752,0.76655,0.64903,0.68294,0.45147,1.45459,1.06767,1.30197,0.00652,0.00652,0.00652
60,9811.41,1.41409,1.27709,1.39239,0.77335,0.64671,0.68201,0.44902,1.44177,1.06705,1.28983,0.00646,0.00646,0.00646
61,9974.78,1.39939,1.28196,1.40544,0.77531,0.64275,0.69075,0.45171,1.45269,1.06317,1.30088,0.0064,0.0064,0.0064
62,10138.1,1.40166,1.2813,1.39286,0.75637,0.64648,0.68575,0.45074,1.48086,1.06954,1.30877,0.00634,0.00634,0.00634
63,10300.2,1.40083,1.28268,1.40817,0.74814,0.66634,0.69568,0.45532,1.4573,1.06048,1.309,0.00628,0.00628,0.00628
